n_estimators,max_depth,score
35,1,0.3168654746085284
34,6,0.7985218495650466
53,5,0.7978688811237099
53,9,0.753030669175768
101,5,0.8087487245608227
101,9,0.7537941304410714
149,14,0.635746184337546
5,14,0.480198730786388
149,1,0.4987840433135481
5,1,0.08551291282509987
8,2,0.2574593735395353
11,3,0.44986008366151153
14,4,0.6043896557159945
17,5,0.7110365797011863
20,6,0.752759838866091
23,7,0.7775318710040382
26,8,0.7692757645394666
29,9,0.7426878309300797
32,10,0.7149233371661173
35,11,0.6631677043774458
38,12,0.6608851721913974
41,13,0.6303721068487257
44,14,0.6389122255850377
48,1,0.3593539838608393
51,2,0.6018133026682553
54,3,0.7193889815900889
57,4,0.7808603405054089
60,5,0.7993057342761145
63,6,0.8078179666418808
66,7,0.8090686232018918
69,8,0.785265366672137
72,9,0.7468283292774658
75,10,0.713757191914931
78,11,0.6651235176035257
81,12,0.6558102282801022
84,13,0.6249589884834639
87,14,0.6305238202371098
91,1,0.44311618600960756
94,2,0.6750755867605366
97,3,0.7535467122000857
100,4,0.7993344704188499
103,5,0.8108052354313171
106,6,0.816624898384561
109,7,0.8118810657457549
112,8,0.7878682717472323
115,9,0.7486595281097295
118,10,0.7139879458902919
121,11,0.6572254895216059
124,12,0.6610798521949267
127,13,0.6270673914948356
130,14,0.6317838346011883
134,1,0.4883662822132985
137,2,0.7066887024369597
140,3,0.7705713800774829
143,4,0.8088371109438999
146,5,0.8152825891470912
149,6,0.8161534608593082
7,7,0.5709088479344662
10,8,0.6633221020462436
13,9,0.7003205452195203
16,10,0.7023722702485125
19,11,0.6651079739451358
22,12,0.6658624286633941
25,13,0.6529521883377949
28,14,0.637520868257065
32,1,0.3038629274129163
35,2,0.5386399019090686
38,3,0.6851292342570481
41,4,0.7629818753135978
44,5,0.7912371660380646
47,6,0.8049728479968418
50,7,0.8070269091393822
53,8,0.7908129644903131
56,9,0.7520582163351966
59,10,0.7189456502362022
62,11,0.6635783553518431
65,12,0.6554933136605379
68,13,0.6255347891940801
71,14,0.6310225496508227
75,1,0.41769289892423167
78,2,0.6593118802718172
81,3,0.7446149961725508
84,4,0.7946284216678097
87,5,0.8065981504619394
90,6,0.8131283739861315
93,7,0.8121936663573905
96,8,0.7898482640310214
99,9,0.7487872534326623
102,10,0.7181403321281035
105,11,0.6627160672773019
108,12,0.6572498042623295
111,13,0.6272266146859341
114,14,0.622840707237051
118,1,0.4734022880157718
121,2,0.6962837784452518
124,3,0.7656439962069037
127,4,0.8084477152811337
130,5,0.8135298262846202
133,6,0.8200271566998342
136,7,0.811838979860328
139,8,0.7891371443137982
142,9,0.7466611223359829
145,10,0.7187490659760682
148,11,0.6630677736259718
6,12,0.5244359940904235
9,13,0.6049311482841269
12,14,0.631283874140119
16,1,0.20774202017242405
19,2,0.4264679356598582
22,3,0.6018918390564556
25,4,0.720522916759642
28,5,0.7709054074172936
31,6,0.7930761926557964
34,7,0.7969992153326514
37,8,0.781006524332879
40,9,0.7516664149151498
43,10,0.7088830865860514
46,11,0.6599728755430697
49,12,0.6612607389130802
52,13,0.6265652048060476
