n_neighbors,algorithm,cv,dataset,score
3,auto,2,digits_data,0.9593788941437034
4,auto,2,digits_data,0.9543683776331534
5,auto,2,digits_data,0.953256030580873
6,auto,2,digits_data,0.9493609578571588
7,auto,2,digits_data,0.9493609578571588
8,auto,2,digits_data,0.9488060230248407
9,auto,2,digits_data,0.9454665044803556
10,auto,2,digits_data,0.9482504688456117
11,auto,2,digits_data,0.9437986032488461
12,auto,2,digits_data,0.9421288439766036
13,auto,2,digits_data,0.9387887060852073
14,auto,2,digits_data,0.9393479763459027
15,auto,2,digits_data,0.9399022918313097
16,auto,2,digits_data,0.9399022918313097
17,auto,2,digits_data,0.938231913212156
18,auto,2,digits_data,0.9399035305251318
19,auto,2,digits_data,0.9387899447790293
20,auto,2,digits_data,0.9387899447790293
21,auto,2,digits_data,0.9387893254321183
22,auto,2,digits_data,0.9382331519059781
23,auto,2,digits_data,0.9365627732868245
24,auto,2,digits_data,0.9354504262345442
25,auto,2,digits_data,0.9348923946676708
26,auto,2,digits_data,0.9337800476153906
27,auto,2,digits_data,0.932665842522377
28,auto,2,digits_data,0.9315528761231856
29,auto,2,digits_data,0.9287701504517516
30,auto,2,digits_data,0.924317665508075
31,auto,2,digits_data,0.9237621113288459
32,auto,2,digits_data,0.9232053184557947
33,auto,2,digits_data,0.9220917327096922
34,auto,2,digits_data,0.9226479062358324
35,auto,2,digits_data,0.9215361785304632
36,auto,2,digits_data,0.9204225927843608
37,auto,2,digits_data,0.9170836935867867
38,auto,2,digits_data,0.9165269007137353
39,auto,2,digits_data,0.915969488493773
40,auto,2,digits_data,0.918751594818296
41,auto,2,digits_data,0.915969488493773
42,auto,2,digits_data,0.9148559027476706
43,auto,2,digits_data,0.915968249799951
44,auto,2,digits_data,0.9165262813668242
45,auto,2,digits_data,0.9154126956207218
46,auto,2,digits_data,0.9159701078406841
47,auto,2,digits_data,0.9143003485684416
48,auto,2,digits_data,0.9131873821692502
49,auto,2,digits_data,0.909848482971676
3,ball_tree,2,digits_data,0.9599350676698435
4,ball_tree,2,digits_data,0.9543683776331534
5,ball_tree,2,digits_data,0.953256030580873
6,ball_tree,2,digits_data,0.9493609578571588
7,ball_tree,2,digits_data,0.9493609578571588
8,ball_tree,2,digits_data,0.949362815897892
9,ball_tree,2,digits_data,0.9454665044803556
10,ball_tree,2,digits_data,0.9476936759725605
11,ball_tree,2,digits_data,0.9437986032488461
12,ball_tree,2,digits_data,0.9426856368496548
13,ball_tree,2,digits_data,0.9393454989582585
14,ball_tree,2,digits_data,0.9393479763459027
15,ball_tree,2,digits_data,0.9399022918313097
16,ball_tree,2,digits_data,0.9399022918313097
17,ball_tree,2,digits_data,0.938231913212156
18,ball_tree,2,digits_data,0.9410164969243233
19,ball_tree,2,digits_data,0.9382331519059781
20,ball_tree,2,digits_data,0.9393467376520805
21,ball_tree,2,digits_data,0.9382325325590671
22,ball_tree,2,digits_data,0.9382331519059781
23,ball_tree,2,digits_data,0.9365627732868245
24,ball_tree,2,digits_data,0.9354504262345442
25,ball_tree,2,digits_data,0.9348923946676708
26,ball_tree,2,digits_data,0.9337800476153906
27,ball_tree,2,digits_data,0.932665842522377
28,ball_tree,2,digits_data,0.9309967025970455
29,ball_tree,2,digits_data,0.9287701504517516
30,ball_tree,2,digits_data,0.924317665508075
31,ball_tree,2,digits_data,0.9237621113288459
32,ball_tree,2,digits_data,0.9232053184557947
33,ball_tree,2,digits_data,0.9226485255827435
34,ball_tree,2,digits_data,0.9226479062358324
35,ball_tree,2,digits_data,0.9215361785304632
36,ball_tree,2,digits_data,0.9204225927843608
37,ball_tree,2,digits_data,0.9170836935867867
38,ball_tree,2,digits_data,0.9165269007137353
39,ball_tree,2,digits_data,0.9165256620199133
40,ball_tree,2,digits_data,0.918751594818296
41,ball_tree,2,digits_data,0.915969488493773
42,ball_tree,2,digits_data,0.9148559027476706
43,ball_tree,2,digits_data,0.915968249799951
44,ball_tree,2,digits_data,0.9165262813668242
45,ball_tree,2,digits_data,0.915969488493773
46,ball_tree,2,digits_data,0.9159701078406841
47,ball_tree,2,digits_data,0.9143003485684416
48,ball_tree,2,digits_data,0.9131873821692502
49,ball_tree,2,digits_data,0.9104046564978161
3,kd_tree,2,digits_data,0.9599350676698435
4,kd_tree,2,digits_data,0.9543683776331534
5,kd_tree,2,digits_data,0.953256030580873
6,kd_tree,2,digits_data,0.9493609578571588
